"","x"
"2",1.49999984330587
"4",1.49999984330587
"10",1.27377849091017
"13",1.27377849091017
"19",1.72622119570157
"21",1.49999984330587
"22",1.95244254809726
"31",1.49999984330587
"32",1.95244254809726
"41",1.72622119570157
"42",1.72622119570157
"49",1.49999984330587
"51",4.21465607205423
"52",4.44087742444992
"58",3.30977066247144
"59",3.98843471965853
"62",4.44087742444992
"63",3.30977066247144
"67",4.44087742444992
"72",3.98843471965853
"76",4.21465607205423
"78",4.89332012924132
"81",3.53599201486714
"84",4.66709877684562
"88",3.98843471965853
"91",3.76221336726283
"96",3.76221336726283
"98",3.98843471965853
"99",3.53599201486714
"102",5.34576283403271
"103",5.7982055388241
"105",6.0244268912198
"107",4.89332012924132
"109",5.11954148163701
"110",6.70309094840689
"117",5.11954148163701
"120",4.44087742444992
"125",5.7982055388241
"129",5.7982055388241
"133",6.0244268912198
"136",6.25064824361549
"140",5.7982055388241
"141",6.47686959601119
"144",6.25064824361549
"149",6.25064824361549
